#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_XXmm_SINGLE_LAYER"
 2.234333307E-01 9.143882990E-01 2.441704646E-02
 2.207259834E-01 9.143882990E-01 2.471854538E-02
 2.207237631E-01 9.143882990E-01 2.471879125E-02
 2.180290371E-01 9.143882990E-01 2.501439862E-02
 2.180268317E-01 9.143882990E-01 2.501464076E-02
 2.153447866E-01 9.143882990E-01 2.530535311E-02
 2.153425962E-01 9.143882990E-01 2.530559152E-02
 2.126721591E-01 9.143882990E-01 2.559048682E-02
 2.126699686E-01 9.143882990E-01 2.559071966E-02
 2.100131512E-01 9.143882990E-01 2.586965635E-02
 2.100109756E-01 9.143882990E-01 2.586988360E-02
 2.073658109E-01 9.143882990E-01 2.614399418E-02
 2.073636502E-01 9.143882990E-01 2.614421770E-02
 2.047311068E-01 9.143882990E-01 2.641243860E-02
 2.047289610E-01 9.143882990E-01 2.641265839E-02
 2.021090239E-01 9.143882990E-01 2.667499334E-02
 2.021068782E-01 9.143882990E-01 2.667520754E-02
 1.995005608E-01 9.143882990E-01 2.693157643E-02
 1.994984299E-01 9.143882990E-01 2.693178691E-02
 1.969047785E-01 9.143882990E-01 2.718326449E-02
 1.969026625E-01 9.143882990E-01 2.718346938E-02
 1.943226308E-01 9.143882990E-01 2.742899209E-02
 1.943205148E-01 9.143882990E-01 2.742919326E-02
 1.917531639E-01 9.143882990E-01 2.766981721E-02
 1.917510629E-01 9.143882990E-01 2.767001465E-02
 1.891962439E-01 9.143882990E-01 2.790375240E-02
 1.891941577E-01 9.143882990E-01 2.790394425E-02
 1.866540015E-01 9.143882990E-01 2.813265286E-02
 1.866519302E-01 9.143882990E-01 2.813283913E-02
 1.841243953E-01 9.143882990E-01 2.835565433E-02
 1.841223240E-01 9.143882990E-01 2.835583687E-02
 1.816093922E-01 9.143882990E-01 2.857262641E-02
 1.816073358E-01 9.143882990E-01 2.857280336E-02
 1.791069955E-01 9.143882990E-01 2.878370322E-02
 1.791049540E-01 9.143882990E-01 2.878387645E-02
 1.766192913E-01 9.143882990E-01 2.898974158E-02
 1.766172647E-01 9.143882990E-01 2.898990922E-02
 1.741451472E-01 9.143882990E-01 2.918881923E-02
 1.741431206E-01 9.143882990E-01 2.918898128E-02
 1.716846824E-01 9.143882990E-01 2.938292921E-02
 1.716826707E-01 9.143882990E-01 2.938308753E-02
 1.692388356E-01 9.143882990E-01 2.957100421E-02
 1.692368388E-01 9.143882990E-01 2.957115695E-02
 1.668065935E-01 9.143882990E-01 2.975311503E-02
 1.668046117E-01 9.143882990E-01 2.975326404E-02
 1.643889844E-01 9.143882990E-01 2.992919274E-02
 1.643870026E-01 9.143882990E-01 2.992933616E-02
 1.619859785E-01 9.143882990E-01 3.009923548E-02
 1.619840115E-01 9.143882990E-01 3.009937517E-02
 1.595976502E-01 9.143882990E-01 3.026424348E-02
 1.595956981E-01 9.143882990E-01 3.026437759E-02
 1.572228819E-01 9.143882990E-01 3.042229079E-02
 1.572209448E-01 9.143882990E-01 3.042241931E-02
 1.548637152E-01 9.143882990E-01 3.057422861E-02
 1.548617929E-01 9.143882990E-01 3.057435341E-02
 1.525192559E-01 9.143882990E-01 3.072113544E-02
 1.525173336E-01 9.143882990E-01 3.072125465E-02
 1.501893848E-01 9.143882990E-01 3.086200170E-02
 1.501874775E-01 9.143882990E-01 3.086211719E-02
 1.478751451E-01 9.143882990E-01 3.099676780E-02
 1.478732526E-01 9.143882990E-01 3.099687770E-02
 1.455745101E-01 9.143882990E-01 3.112557344E-02
 1.455726326E-01 9.143882990E-01 3.112567775E-02
 1.432904750E-01 9.143882990E-01 3.124819696E-02
 1.432886124E-01 9.143882990E-01 3.124829754E-02
 1.410210729E-01 9.143882990E-01 3.136479110E-02
 1.410192251E-01 9.143882990E-01 3.136488795E-02
 1.387672871E-01 9.143882990E-01 3.147528693E-02
 1.387654394E-01 9.143882990E-01 3.147537634E-02
 1.365281045E-01 9.143882990E-01 3.157974035E-02
 1.365262717E-01 9.143882990E-01 3.157982603E-02
 1.343045980E-01 9.143882990E-01 3.167909011E-02
 1.343027800E-01 9.143882990E-01 3.167917207E-02
 1.320977211E-01 9.143882990E-01 3.177226335E-02
 1.320959181E-01 9.143882990E-01 3.177233785E-02
 1.299053580E-01 9.143882990E-01 3.185841069E-02
 1.299035698E-01 9.143882990E-01 3.185848147E-02
 1.277296990E-01 9.143882990E-01 3.193937615E-02
 1.277279258E-01 9.143882990E-01 3.193944320E-02
 1.255696416E-01 9.143882990E-01 3.201424330E-02
 1.255678833E-01 9.143882990E-01 3.201430291E-02
 1.234252751E-01 9.143882990E-01 3.208399937E-02
 1.234235242E-01 9.143882990E-01 3.208405524E-02
 1.212964430E-01 9.143882990E-01 3.214665502E-02
 1.212947071E-01 9.143882990E-01 3.214670718E-02
 1.191843003E-01 9.143882990E-01 3.220413253E-02
 1.191825718E-01 9.143882990E-01 3.220418096E-02
 1.170887649E-01 9.143882990E-01 3.225544095E-02
 1.170870513E-01 9.143882990E-01 3.225548193E-02
 1.150088385E-01 9.143882990E-01 3.230064362E-02
 1.150071397E-01 9.143882990E-01 3.230068088E-02
 1.129455119E-01 9.143882990E-01 3.233966976E-02
 1.129438281E-01 9.143882990E-01 3.233970329E-02
 1.108988076E-01 9.143882990E-01 3.237252682E-02
 1.108971387E-01 9.143882990E-01 3.237255290E-02
 1.088677868E-01 9.143882990E-01 3.240027651E-02
 1.088661253E-01 9.143882990E-01 3.240029886E-02
 1.068543717E-01 9.143882990E-01 3.242177889E-02
 1.068527251E-01 9.143882990E-01 3.242179751E-02
 1.048576310E-01 9.143882990E-01 3.243810683E-02
 1.048559994E-01 9.143882990E-01 3.243812174E-02
 1.028774902E-01 9.143882990E-01 3.244826570E-02
 1.028758734E-01 9.143882990E-01 3.244827315E-02
 1.009139791E-01 9.143882990E-01 3.245224431E-02
 1.009123772E-01 9.143882990E-01 3.245224804E-02
 9.896706045E-02 9.143882990E-01 3.245005384E-02
 9.896547347E-02 9.143882990E-01 3.245005384E-02
