#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
 1.841214299E-01 9.144051075E-01 2.835591510E-02
 1.816073358E-01 9.144051075E-01 2.857280336E-02
 1.816064417E-01 9.144051075E-01 2.857287973E-02
 1.791049540E-01 9.144051075E-01 2.878387645E-02
 1.791040599E-01 9.144051075E-01 2.878395095E-02
 1.766172647E-01 9.144051075E-01 2.898990922E-02
 1.766163856E-01 9.144051075E-01 2.898998000E-02
 1.741431206E-01 9.144051075E-01 2.918898128E-02
 1.741422415E-01 9.144051075E-01 2.918905020E-02
 1.716826707E-01 9.144051075E-01 2.938308753E-02
 1.716817915E-01 9.144051075E-01 2.938315459E-02
 1.692368388E-01 9.144051075E-01 2.957115695E-02
 1.692359746E-01 9.144051075E-01 2.957122214E-02
 1.668046117E-01 9.144051075E-01 2.975326404E-02
 1.668037474E-01 9.144051075E-01 2.975332737E-02
 1.643870026E-01 9.144051075E-01 2.992933616E-02
 1.643861383E-01 9.144051075E-01 2.992939763E-02
 1.619840115E-01 9.144051075E-01 3.009937517E-02
 1.619831622E-01 9.144051075E-01 3.009943478E-02
 1.595956981E-01 9.144051075E-01 3.026437759E-02
 1.595948488E-01 9.144051075E-01 3.026443347E-02
 1.572209448E-01 9.144051075E-01 3.042241931E-02
 1.572200954E-01 9.144051075E-01 3.042247333E-02
 1.548617929E-01 9.144051075E-01 3.057435341E-02
 1.548609585E-01 9.144051075E-01 3.057440557E-02
 1.525173336E-01 9.144051075E-01 3.072125465E-02
 1.525164992E-01 9.144051075E-01 3.072130494E-02
 1.501874775E-01 9.144051075E-01 3.086211719E-02
 1.501866430E-01 9.144051075E-01 3.086216561E-02
 1.478732526E-01 9.144051075E-01 3.099687770E-02
 1.478724331E-01 9.144051075E-01 3.099692427E-02
 1.455726326E-01 9.144051075E-01 3.112567775E-02
 1.455718130E-01 9.144051075E-01 3.112572245E-02
 1.432886124E-01 9.144051075E-01 3.124829754E-02
 1.432878077E-01 9.144051075E-01 3.124833852E-02
 1.410192251E-01 9.144051075E-01 3.136488795E-02
 1.410184205E-01 9.144051075E-01 3.136492893E-02
 1.387654394E-01 9.144051075E-01 3.147537634E-02
 1.387646347E-01 9.144051075E-01 3.147541359E-02
 1.365262717E-01 9.144051075E-01 3.157982603E-02
 1.365254819E-01 9.144051075E-01 3.157986328E-02
 1.343027800E-01 9.144051075E-01 3.167917207E-02
 1.343019903E-01 9.144051075E-01 3.167920560E-02
 1.320959181E-01 9.144051075E-01 3.177233785E-02
 1.320951283E-01 9.144051075E-01 3.177236766E-02
 1.299035698E-01 9.144051075E-01 3.185848147E-02
 1.299027950E-01 9.144051075E-01 3.185851127E-02
 1.277279258E-01 9.144051075E-01 3.193944320E-02
 1.277271509E-01 9.144051075E-01 3.193946928E-02
 1.255678833E-01 9.144051075E-01 3.201430291E-02
 1.255671233E-01 9.144051075E-01 3.201432899E-02
 1.234235242E-01 9.144051075E-01 3.208405524E-02
 1.234227642E-01 9.144051075E-01 3.208407760E-02
 1.212947071E-01 9.144051075E-01 3.214670718E-02
 1.212939546E-01 9.144051075E-01 3.214672953E-02
 1.191825718E-01 9.144051075E-01 3.220418096E-02
 1.191818193E-01 9.144051075E-01 3.220419958E-02
 1.170870513E-01 9.144051075E-01 3.225548193E-02
 1.170863062E-01 9.144051075E-01 3.225549683E-02
 1.150071397E-01 9.144051075E-01 3.230068088E-02
 1.150064021E-01 9.144051075E-01 3.230069578E-02
 1.129438281E-01 9.144051075E-01 3.233970329E-02
 1.129430979E-01 9.144051075E-01 3.233971447E-02
 1.108971387E-01 9.144051075E-01 3.237255290E-02
 1.108964160E-01 9.144051075E-01 3.237256408E-02
 1.088661253E-01 9.144051075E-01 3.240029886E-02
 1.088654026E-01 9.144051075E-01 3.240030631E-02
 1.068527251E-01 9.144051075E-01 3.242179751E-02
 1.068520099E-01 9.144051075E-01 3.242180496E-02
 1.048559994E-01 9.144051075E-01 3.243812174E-02
 1.048552915E-01 9.144051075E-01 3.243812546E-02
 1.028758734E-01 9.144051075E-01 3.244827315E-02
 1.028751731E-01 9.144051075E-01 3.244827315E-02
 1.009123772E-01 9.144051075E-01 3.245224804E-02
 1.009116843E-01 9.144051075E-01 3.245224804E-02
 9.896547347E-02 9.144051075E-01 3.245005384E-02
 9.896478057E-02 9.144051075E-01 3.245005012E-02
 9.703625739E-02 9.144051075E-01 3.244261071E-02
 9.703557193E-02 9.144051075E-01 3.244260699E-02
 9.512364864E-02 9.144051075E-01 3.242899477E-02
 9.512297064E-02 9.144051075E-01 3.242898732E-02
 9.322872013E-02 9.144051075E-01 3.241013363E-02
 9.322804958E-02 9.144051075E-01 3.241012618E-02
 9.135039896E-02 9.144051075E-01 3.238509595E-02
 9.134973586E-02 9.144051075E-01 3.238508478E-02
 8.948975056E-02 9.144051075E-01 3.235481679E-02
 8.948909491E-02 9.144051075E-01 3.235480189E-02
 8.764671534E-02 9.144051075E-01 3.231829032E-02
 8.764605969E-02 9.144051075E-01 3.231827542E-02
 8.582135290E-02 9.144051075E-01 3.227651864E-02
 8.582070470E-02 9.144051075E-01 3.227650002E-02
 8.401267231E-02 9.144051075E-01 3.222956881E-02
 8.401203156E-02 9.144051075E-01 3.222955018E-02
 8.222259581E-02 9.144051075E-01 3.217630833E-02
 8.222196251E-02 9.144051075E-01 3.217628598E-02
 8.044912666E-02 9.144051075E-01 3.211687878E-02
 8.044850081E-02 9.144051075E-01 3.211685643E-02
 7.869433612E-02 9.144051075E-01 3.205212578E-02
 7.869371772E-02 9.144051075E-01 3.205209970E-02
 7.695722580E-02 9.144051075E-01 3.198213130E-02
 7.695660740E-02 9.144051075E-01 3.198210523E-02
 7.523778826E-02 9.144051075E-01 3.190689161E-02
 7.523717731E-02 9.144051075E-01 3.190686181E-02
 7.353602350E-02 9.144051075E-01 3.182640299E-02
 7.353542000E-02 9.144051075E-01 3.182637319E-02
 7.185287029E-02 9.144051075E-01 3.173960373E-02
 7.185227424E-02 9.144051075E-01 3.173957020E-02
 7.018739730E-02 9.144051075E-01 3.164755553E-02
 7.018680871E-02 9.144051075E-01 3.164752200E-02
 6.854058802E-02 9.144051075E-01 3.155019507E-02
 6.854000688E-02 9.144051075E-01 3.155015782E-02
 6.691146642E-02 9.144051075E-01 3.144758567E-02
 6.691089272E-02 9.144051075E-01 3.144754842E-02
 6.530101597E-02 9.144051075E-01 3.133966029E-02
 6.530044973E-02 9.144051075E-01 3.133961931E-02
 6.370923668E-02 9.144051075E-01 3.122642264E-02
 6.370867044E-02 9.144051075E-01 3.122637980E-02
 6.213513762E-02 9.144051075E-01 3.110793978E-02
 6.213458255E-02 9.144051075E-01 3.110789508E-02
 6.057971343E-02 9.144051075E-01 3.098413907E-02
 6.057916209E-02 9.144051075E-01 3.098409250E-02
 5.904296413E-02 9.144051075E-01 3.085502051E-02
 5.904242024E-02 9.144051075E-01 3.085497208E-02
 5.752588436E-02 9.144051075E-01 3.072051890E-02
 5.752534792E-02 9.144051075E-01 3.072046861E-02
 5.602648482E-02 9.144051075E-01 3.058077395E-02
 5.602595583E-02 9.144051075E-01 3.058072180E-02
 5.454583094E-02 9.144051075E-01 3.043670766E-02
 5.454530939E-02 9.144051075E-01 3.043665364E-02
 5.308377743E-02 9.144051075E-01 3.028632887E-02
 5.308326334E-02 9.144051075E-01 3.028627299E-02
 5.164146796E-02 9.144051075E-01 3.013156168E-02
 5.164095759E-02 9.144051075E-01 3.013150394E-02
 5.021690577E-02 9.144051075E-01 2.997254580E-02
 5.021640286E-02 9.144051075E-01 2.997248620E-02
 4.881301150E-02 9.144051075E-01 2.980807610E-02
 4.881251603E-02 9.144051075E-01 2.980801463E-02
 4.742679745E-02 9.144051075E-01 2.963835932E-02
 4.742630944E-02 9.144051075E-01 2.963829599E-02
 4.606025293E-02 9.144051075E-01 2.946325950E-02
 4.605977237E-02 9.144051075E-01 2.946319617E-02
 4.471245408E-02 9.144051075E-01 2.928384021E-02
 4.471198097E-02 9.144051075E-01 2.928377502E-02
 4.338439927E-02 9.144051075E-01 2.910003252E-02
